rank,account_id,company_name,plan_tier,csm_assigned,region,mrr,arr,churn_proba,risk_tier,arr_at_risk,contract_end_date,recommended_action
15,ACC-1454,Olsen Ltd,enterprise,Sarah Chen,,16657.33,199887.96,0.9984,Critical,199568.0,2022-10-10,Executive escalation + QBR within 7 days
16,ACC-0357,Hayes and Sons,enterprise,Carlos Vega,,16274.5,195294.0,0.9965,Critical,194610.0,2023-08-04,Executive escalation + QBR within 7 days
17,ACC-1031,Baker and Sons,enterprise,Lena Müller,EMEA,16423.59,197083.08,0.9398,Critical,185219.0,2024-01-11,Executive escalation + QBR within 7 days
18,ACC-1210,Hunter PLC,enterprise,Anna Kowalski,,14863.02,178356.24,0.9958,Critical,177607.0,2024-03-02,Executive escalation + QBR within 7 days
19,ACC-0668,Kane-Knox,enterprise,Anna Kowalski,EMEA,14859.77,178317.24,0.9942,Critical,177283.0,2025-02-07,Executive escalation + QBR within 7 days
20,ACC-1898,Finley-Meyers,enterprise,Carlos Vega,,14613.84,175366.08,0.9968,Critical,174805.0,2023-10-22,Executive escalation + QBR within 7 days
21,ACC-0665,Mitchell and Sons,enterprise,James Okonkwo,,17069.89,204838.68,0.8451,Critical,173109.0,2023-02-03,Executive escalation + QBR within 7 days
22,ACC-1937,Bishop Inc,enterprise,James Okonkwo,EMEA,15243.35,182920.2,0.8809,Critical,161134.0,2024-08-01,Executive escalation + QBR within 7 days
23,ACC-0694,Faulkner-Grant,enterprise,Anna Kowalski,,13956.14,167473.68,0.9527,Critical,159552.0,2025-11-20,Executive escalation + QBR within 7 days
24,ACC-1734,"Brown, Meyer and Cunningham",enterprise,James Okonkwo,EMEA,13003.04,156036.48,0.9962,Critical,155444.0,2024-03-12,Executive escalation + QBR within 7 days
25,ACC-1168,Wells-Hernandez,enterprise,Yuki Tanaka,EMEA,12485.69,149828.28,0.9983,Critical,149574.0,2024-06-08,Executive escalation + QBR within 7 days
26,ACC-0264,"Lloyd, Mckinney and Collins",enterprise,Lena Müller,,12507.16,150085.92,0.9455,Critical,141906.0,2025-02-09,Executive escalation + QBR within 7 days
27,ACC-1738,Morgan Group,enterprise,Priya Sharma,EMEA,12248.8,146985.6,0.9395,Critical,138093.0,2024-08-27,Executive escalation + QBR within 7 days
28,ACC-1818,Hanson-Gibson,enterprise,Sarah Chen,EMEA,9922.18,119066.16,0.9831,Critical,117054.0,2024-02-23,Executive escalation + QBR within 7 days
29,ACC-0617,"Perez, Hall and Garcia",enterprise,Sarah Chen,,9744.38,116932.56,0.9968,Critical,116558.0,2023-10-25,Executive escalation + QBR within 7 days
30,ACC-1464,"Cook, Ward and Castro",enterprise,Priya Sharma,EMEA,8975.6,107707.2,0.9974,Critical,107427.0,2025-01-30,Executive escalation + QBR within 7 days
31,ACC-0241,Jones and Sons,enterprise,Yuki Tanaka,EMEA,12489.03,149868.36,0.6935,High,103934.0,2025-09-13,CSM check-in + usage review this week
32,ACC-1097,"Johnson, Lee and Whitaker",enterprise,Yuki Tanaka,EMEA,15951.97,191423.64,0.5061,High,96880.0,2025-05-07,CSM check-in + usage review this week
33,ACC-0872,Kelley-Anderson,enterprise,Carlos Vega,APAC,8279.3,99351.6,0.9124,Critical,90648.0,2024-08-11,Executive escalation + QBR within 7 days
34,ACC-0520,"Richardson, Edwards and Ramirez",enterprise,Yuki Tanaka,APAC,6873.75,82485.0,0.9659,Critical,79672.0,2023-07-06,Executive escalation + QBR within 7 days
35,ACC-1845,Hopkins LLC,enterprise,Sarah Chen,APAC,6408.49,76901.88,0.9949,Critical,76510.0,2025-08-20,Executive escalation + QBR within 7 days
36,ACC-0260,Dean-Jimenez,enterprise,James Okonkwo,,5886.06,70632.72,0.9939,Critical,70202.0,2025-12-02,Executive escalation + QBR within 7 days
37,ACC-0444,Collins Group,enterprise,Yuki Tanaka,,5808.77,69705.24,0.9948,Critical,69343.0,2023-11-18,Executive escalation + QBR within 7 days
38,ACC-1688,"Salazar, Moore and Pierce",enterprise,Priya Sharma,EMEA,5537.86,66454.32,0.993,Critical,65989.0,2025-01-25,Executive escalation + QBR within 7 days
39,ACC-0996,Castillo-Harrington,enterprise,Lena Müller,EMEA,5443.77,65325.24,0.9988,Critical,65247.0,2025-01-24,Executive escalation + QBR within 7 days
40,ACC-0305,"Evans, Hayden and Vaughn",enterprise,Carlos Vega,APAC,4337.3,52047.6,0.97,Critical,50486.0,2023-09-23,Executive escalation + QBR within 7 days
41,ACC-0874,Williams Ltd,enterprise,Yuki Tanaka,,4063.44,48761.28,0.9933,Critical,48435.0,2025-02-14,Executive escalation + QBR within 7 days
42,ACC-0274,Hoover-Campbell,professional,Carlos Vega,,3918.69,47024.28,0.9909,Critical,46596.0,2024-10-15,CSM intervention call within 48 hours
43,ACC-0907,Cruz-Allen,professional,Carlos Vega,EMEA,3974.45,47693.4,0.9745,Critical,46477.0,2026-12-08,CSM intervention call within 48 hours
44,ACC-1193,"Brown, Dunlap and Moore",professional,James Okonkwo,EMEA,3876.7,46520.4,0.9735,Critical,45288.0,2025-01-17,CSM intervention call within 48 hours
45,ACC-1517,Snyder LLC,professional,Lena Müller,APAC,3778.32,45339.84,0.9978,Critical,45240.0,2024-07-24,CSM intervention call within 48 hours
46,ACC-1364,"Mullen, Greene and Elliott",professional,Marco Ricci,,3783.99,45407.88,0.9848,Critical,44718.0,2025-05-13,CSM intervention call within 48 hours
47,ACC-1622,Singh and Sons,professional,Sarah Chen,EMEA,3736.95,44843.4,0.9971,Critical,44713.0,2025-03-26,CSM intervention call within 48 hours
48,ACC-0745,Lam-Elliott,professional,Carlos Vega,,3914.86,46978.32,0.9517,Critical,44709.0,2024-08-14,CSM intervention call within 48 hours
49,ACC-1681,"Payne, Long and Morris",professional,Anna Kowalski,,3726.49,44717.88,0.9978,Critical,44620.0,2023-08-27,CSM intervention call within 48 hours
50,ACC-0269,Hicks-Hill,professional,Carlos Vega,,3703.04,44436.48,0.9862,Critical,43823.0,2025-04-07,CSM intervention call within 48 hours
51,ACC-1928,Thomas-Perry,enterprise,Marco Ricci,APAC,4535.78,54429.36,0.8,Critical,43543.0,2025-06-12,Executive escalation + QBR within 7 days
52,ACC-0544,Donovan-Perez,professional,James Okonkwo,EMEA,3947.88,47374.56,0.9151,Critical,43352.0,2023-07-30,CSM intervention call within 48 hours
53,ACC-1293,"Parks, Johnson and Love",professional,Carlos Vega,APAC,3679.61,44155.32,0.9764,Critical,43113.0,2025-03-08,CSM intervention call within 48 hours
54,ACC-1494,"Fields, Elliott and Mills",professional,Priya Sharma,,3632.91,43594.92,0.9693,Critical,42257.0,2025-12-20,CSM intervention call within 48 hours
55,ACC-1957,Jones PLC,professional,Lena Müller,APAC,3790.26,45483.12,0.9126,Critical,41508.0,2025-04-11,CSM intervention call within 48 hours
56,ACC-1678,"Ellison, Vaughn and Mckee",professional,Lena Müller,EMEA,3385.95,40631.4,0.9964,Critical,40485.0,2024-07-19,CSM intervention call within 48 hours
57,ACC-1563,Hebert-Collier,professional,Anna Kowalski,APAC,3376.71,40520.52,0.9942,Critical,40286.0,2025-02-15,CSM intervention call within 48 hours
58,ACC-0118,Rasmussen LLC,professional,Lena Müller,,3578.11,42937.32,0.9317,Critical,40005.0,2024-12-29,CSM intervention call within 48 hours
59,ACC-0426,"Brown, Romero and Collins",professional,Yuki Tanaka,APAC,3295.43,39545.16,0.9934,Critical,39284.0,2025-01-06,CSM intervention call within 48 hours
60,ACC-1480,Martinez and Sons,professional,Lena Müller,EMEA,3280.75,39369.0,0.9921,Critical,39058.0,2025-04-16,CSM intervention call within 48 hours
61,ACC-0036,Rodriguez-Graham,professional,Yuki Tanaka,,3382.12,40585.44,0.9571,Critical,38844.0,2023-11-26,CSM intervention call within 48 hours
62,ACC-1550,"Hunter, Gross and Andrade",professional,Carlos Vega,EMEA,3585.05,43020.6,0.894,Critical,38460.0,2024-02-21,CSM intervention call within 48 hours
63,ACC-1142,Thomas-Huffman,professional,Yuki Tanaka,EMEA,3848.97,46187.64,0.8281,Critical,38248.0,2026-02-18,CSM intervention call within 48 hours
64,ACC-1087,Morgan LLC,professional,Sarah Chen,,3199.96,38399.52,0.9928,Critical,38123.0,2023-08-20,CSM intervention call within 48 hours
65,ACC-1220,Castro-Harvey,professional,Anna Kowalski,,3226.01,38712.12,0.9477,Critical,36687.0,2023-09-25,CSM intervention call within 48 hours
66,ACC-0340,"Wood, Ramos and Sampson",professional,Sarah Chen,APAC,3068.05,36816.6,0.9948,Critical,36625.0,2025-01-13,CSM intervention call within 48 hours
67,ACC-0584,"Kirby, Wheeler and Romero",professional,James Okonkwo,,3050.49,36605.88,0.9864,Critical,36108.0,2026-09-10,CSM intervention call within 48 hours
68,ACC-0947,Vargas-Snyder,professional,Lena Müller,,3046.71,36560.52,0.9811,Critical,35870.0,2024-11-13,CSM intervention call within 48 hours
69,ACC-1056,Watson Group,professional,James Okonkwo,EMEA,2976.35,35716.2,0.9971,Critical,35613.0,2026-01-01,CSM intervention call within 48 hours
70,ACC-0803,Griffin Group,professional,James Okonkwo,,2972.48,35669.76,0.9979,Critical,35595.0,2025-05-07,CSM intervention call within 48 hours
71,ACC-1278,Rivera-Carter,professional,Yuki Tanaka,,2972.92,35675.04,0.9931,Critical,35429.0,2024-03-29,CSM intervention call within 48 hours
72,ACC-1027,Rivera Inc,professional,Anna Kowalski,APAC,2928.43,35141.16,0.992,Critical,34860.0,2024-02-21,CSM intervention call within 48 hours
73,ACC-0771,Armstrong and Sons,professional,Priya Sharma,EMEA,2935.73,35228.76,0.9864,Critical,34750.0,2023-07-29,CSM intervention call within 48 hours
74,ACC-1431,Valentine Ltd,professional,Anna Kowalski,,2894.67,34736.04,0.9634,Critical,33465.0,2023-03-29,CSM intervention call within 48 hours
75,ACC-1989,Wolfe-Salazar,professional,Anna Kowalski,EMEA,3416.1,40993.2,0.7812,Critical,32024.0,2024-09-18,CSM intervention call within 48 hours
76,ACC-1881,"Carrillo, Morris and Martin",professional,Yuki Tanaka,EMEA,2948.91,35386.92,0.8954,Critical,31685.0,2026-12-12,CSM intervention call within 48 hours
77,ACC-1537,Wright Group,professional,Lena Müller,EMEA,2644.1,31729.2,0.9943,Critical,31548.0,2024-05-09,CSM intervention call within 48 hours
78,ACC-0154,Green-Wright,professional,Marco Ricci,EMEA,2782.37,33388.44,0.9397,Critical,31375.0,2025-02-02,CSM intervention call within 48 hours
79,ACC-1242,"Valencia, Joseph and Walls",professional,Anna Kowalski,EMEA,2658.92,31907.04,0.9794,Critical,31250.0,2026-04-08,CSM intervention call within 48 hours
80,ACC-1299,"Wilson, Smith and Cortez",professional,Carlos Vega,,2608.39,31300.68,0.9875,Critical,30909.0,2025-10-15,CSM intervention call within 48 hours
81,ACC-1816,May Group,professional,Lena Müller,,2829.08,33948.96,0.8981,Critical,30490.0,2023-04-10,CSM intervention call within 48 hours
82,ACC-0658,Chavez PLC,professional,Priya Sharma,APAC,2482.47,29789.64,0.9931,Critical,29584.0,2023-09-27,CSM intervention call within 48 hours
83,ACC-0237,Warner-Gibson,professional,Sarah Chen,,2440.54,29286.48,0.9761,Critical,28587.0,2025-01-17,CSM intervention call within 48 hours
84,ACC-1564,Owen-Brown,professional,Yuki Tanaka,,2444.34,29332.08,0.9732,Critical,28546.0,2026-08-19,CSM intervention call within 48 hours
85,ACC-0462,Burch-Montoya,professional,Lena Müller,,2443.87,29326.44,0.9715,Critical,28491.0,2024-06-25,CSM intervention call within 48 hours
86,ACC-1175,Decker-Dudley,professional,Carlos Vega,,3053.07,36636.84,0.7494,High,27456.0,2023-07-13,Automated re-engagement sequence + CSM follow-up
87,ACC-0102,"Patterson, Smith and Jones",professional,James Okonkwo,APAC,2270.98,27251.76,0.9936,Critical,27077.0,2026-07-03,CSM intervention call within 48 hours
88,ACC-0277,Cook-Hines,professional,James Okonkwo,EMEA,2255.74,27068.88,0.9883,Critical,26752.0,2025-01-23,CSM intervention call within 48 hours
89,ACC-0787,Maldonado PLC,professional,Lena Müller,EMEA,2363.54,28362.48,0.9196,Critical,26082.0,2025-03-08,CSM intervention call within 48 hours
90,ACC-0522,Holmes-Mcintyre,professional,Priya Sharma,APAC,2173.28,26079.36,0.9984,Critical,26038.0,2024-05-20,CSM intervention call within 48 hours
91,ACC-0035,"Dyer, Potter and Mack",professional,Lena Müller,,2194.15,26329.8,0.9769,Critical,25722.0,2025-10-02,CSM intervention call within 48 hours
92,ACC-0729,Nichols-Mitchell,professional,Marco Ricci,,2240.17,26882.04,0.9532,Critical,25624.0,2026-03-14,CSM intervention call within 48 hours
93,ACC-0599,Hoffman Ltd,professional,Yuki Tanaka,APAC,2131.72,25580.64,0.9983,Critical,25537.0,2024-09-12,CSM intervention call within 48 hours
94,ACC-0435,"Kim, Gonzales and Mills",professional,Priya Sharma,EMEA,2067.0,24804.0,0.991,Critical,24581.0,2026-01-08,CSM intervention call within 48 hours
95,ACC-0121,White-Estes,professional,Lena Müller,,2532.05,30384.6,0.8072,Critical,24526.0,2026-03-19,CSM intervention call within 48 hours
96,ACC-1511,Nelson-Dean,professional,Lena Müller,APAC,2048.63,24583.56,0.9913,Critical,24370.0,2024-10-04,CSM intervention call within 48 hours
97,ACC-1223,Smith LLC,professional,Yuki Tanaka,,2073.46,24881.52,0.9595,Critical,23874.0,2024-03-18,CSM intervention call within 48 hours
98,ACC-0389,Bennett Group,professional,Anna Kowalski,,2114.74,25376.88,0.9325,Critical,23664.0,2024-08-11,CSM intervention call within 48 hours
99,ACC-0015,Williams and Sons,professional,Marco Ricci,,1963.61,23563.32,0.9985,Critical,23528.0,2024-12-05,CSM intervention call within 48 hours
100,ACC-0176,King-Miller,professional,Marco Ricci,EMEA,1967.35,23608.2,0.988,Critical,23325.0,2025-01-16,CSM intervention call within 48 hours
101,ACC-0064,"West, Henderson and Ramirez",professional,Marco Ricci,EMEA,2809.28,33711.36,0.6794,High,22903.0,2024-10-09,Automated re-engagement sequence + CSM follow-up
102,ACC-0554,Ballard Ltd,professional,Sarah Chen,EMEA,1894.62,22735.44,0.9975,Critical,22679.0,2025-09-09,CSM intervention call within 48 hours
103,ACC-1159,Martin Group,professional,Carlos Vega,EMEA,1882.06,22584.72,0.9983,Critical,22546.0,2024-10-21,CSM intervention call within 48 hours
104,ACC-0967,"Howard, Townsend and Hayes",professional,Priya Sharma,EMEA,1885.22,22622.64,0.9953,Critical,22516.0,2025-04-23,CSM intervention call within 48 hours
105,ACC-0709,"Harrison, Franco and Rocha",professional,Carlos Vega,,1888.71,22664.52,0.9634,Critical,21835.0,2025-09-22,CSM intervention call within 48 hours
106,ACC-1796,Guerrero Group,professional,Carlos Vega,EMEA,1819.7,21836.4,0.9953,Critical,21734.0,2024-10-30,CSM intervention call within 48 hours
107,ACC-1090,Mccann-Ramos,professional,Priya Sharma,,2326.91,27922.92,0.761,Critical,21249.0,2025-12-07,CSM intervention call within 48 hours
108,ACC-1071,Harris-Carson,professional,Yuki Tanaka,APAC,2078.09,24937.08,0.845,Critical,21072.0,2024-03-31,CSM intervention call within 48 hours
109,ACC-1404,"Meyer, Dawson and Harper",professional,Yuki Tanaka,EMEA,1754.23,21050.76,0.9959,Critical,20964.0,2023-05-04,CSM intervention call within 48 hours
110,ACC-0884,Rios-Padilla,professional,James Okonkwo,EMEA,1740.68,20888.16,0.9981,Critical,20848.0,2025-04-15,CSM intervention call within 48 hours
111,ACC-0776,"Weber, Wheeler and Gonzalez",professional,Anna Kowalski,EMEA,1676.93,20123.16,0.9845,Critical,19811.0,2024-03-28,CSM intervention call within 48 hours
112,ACC-0951,"Franco, Wiley and Tapia",professional,Anna Kowalski,APAC,1652.41,19828.92,0.9956,Critical,19742.0,2024-11-26,CSM intervention call within 48 hours
113,ACC-0051,"Brooks, Lam and Hayes",professional,Priya Sharma,APAC,2808.19,33698.28,0.5513,High,18578.0,2026-12-10,Automated re-engagement sequence + CSM follow-up
114,ACC-1811,"Cruz, Middleton and Larsen",professional,Yuki Tanaka,,1552.54,18630.48,0.9934,Critical,18508.0,2024-01-25,CSM intervention call within 48 hours
115,ACC-1620,Cooper Inc,professional,Yuki Tanaka,APAC,1544.26,18531.12,0.9982,Critical,18498.0,2024-05-23,CSM intervention call within 48 hours
116,ACC-1413,Dunn Ltd,professional,Sarah Chen,APAC,2121.57,25458.84,0.7099,High,18073.0,2025-10-29,Automated re-engagement sequence + CSM follow-up
117,ACC-1584,Foley Inc,professional,Marco Ricci,,1485.76,17829.12,0.9948,Critical,17736.0,2023-12-14,CSM intervention call within 48 hours
118,ACC-1786,"Reynolds, Baird and Bradley",professional,James Okonkwo,,1485.85,17830.2,0.986,Critical,17581.0,2024-06-11,CSM intervention call within 48 hours
119,ACC-0672,Avila LLC,professional,Priya Sharma,EMEA,1470.14,17641.68,0.9959,Critical,17569.0,2026-11-23,CSM intervention call within 48 hours
120,ACC-1984,Sawyer Group,professional,Yuki Tanaka,APAC,1551.77,18621.24,0.9274,Critical,17269.0,2025-11-10,CSM intervention call within 48 hours
121,ACC-0842,Medina and Sons,professional,Carlos Vega,,1436.45,17237.4,0.9883,Critical,17036.0,2024-03-26,CSM intervention call within 48 hours
122,ACC-0496,Carter Inc,professional,Carlos Vega,EMEA,1421.68,17060.16,0.995,Critical,16975.0,2023-10-19,CSM intervention call within 48 hours
123,ACC-0336,"Avery, Horton and Fernandez",professional,Lena Müller,EMEA,1610.47,19325.64,0.851,Critical,16446.0,2025-08-04,CSM intervention call within 48 hours
124,ACC-0174,Lewis-Murphy,professional,Sarah Chen,APAC,1359.48,16313.76,0.996,Critical,16249.0,2024-03-14,CSM intervention call within 48 hours
125,ACC-1670,"Crosby, Armstrong and Herrera",professional,Priya Sharma,APAC,1364.8,16377.6,0.99,Critical,16214.0,2024-08-20,CSM intervention call within 48 hours
126,ACC-1203,"Davis, Stanley and Wright",professional,James Okonkwo,EMEA,1354.3,16251.6,0.939,Critical,15260.0,2024-03-18,CSM intervention call within 48 hours
127,ACC-1761,"Castro, Garcia and Daniels",professional,Yuki Tanaka,EMEA,1241.7,14900.4,0.9805,Critical,14610.0,2024-06-03,CSM intervention call within 48 hours
128,ACC-1531,"Evans, Ward and Williams",professional,Sarah Chen,EMEA,1194.35,14332.2,0.9555,Critical,13694.0,2024-05-23,CSM intervention call within 48 hours
129,ACC-0414,Cook and Sons,professional,Carlos Vega,,1137.89,13654.68,0.9929,Critical,13558.0,2023-05-18,CSM intervention call within 48 hours
130,ACC-0248,"Matthews, Smith and Hubbard",professional,Carlos Vega,,1136.83,13641.96,0.9893,Critical,13496.0,2025-12-11,CSM intervention call within 48 hours
131,ACC-1218,"Powers, Clements and Cox",professional,Carlos Vega,,1098.65,13183.8,0.9965,Critical,13138.0,2025-01-26,CSM intervention call within 48 hours
132,ACC-0290,"James, Stewart and Higgins",professional,James Okonkwo,,1105.28,13263.36,0.9843,Critical,13055.0,2024-03-14,CSM intervention call within 48 hours
133,ACC-0131,"Parker, Ortiz and Powell",professional,Carlos Vega,,1135.78,13629.36,0.9251,Critical,12609.0,2026-09-21,CSM intervention call within 48 hours
134,ACC-1952,Watkins-Nguyen,professional,Anna Kowalski,,1057.65,12691.8,0.9783,Critical,12416.0,2026-04-18,CSM intervention call within 48 hours
135,ACC-1595,Kane and Sons,professional,James Okonkwo,,1063.87,12766.44,0.9583,Critical,12234.0,2024-06-13,CSM intervention call within 48 hours
136,ACC-1214,Mcgee-Smith,professional,Yuki Tanaka,EMEA,1224.26,14691.12,0.832,Critical,12223.0,2025-02-04,CSM intervention call within 48 hours
137,ACC-1259,"Roberts, Beck and House",professional,Sarah Chen,,925.28,11103.36,0.9965,Critical,11064.0,2025-07-24,CSM intervention call within 48 hours
138,ACC-0296,Williams Inc,professional,Marco Ricci,,904.99,10859.88,0.9848,Critical,10695.0,2026-03-26,CSM intervention call within 48 hours
139,ACC-1249,Rich-Henderson,professional,Anna Kowalski,EMEA,890.45,10685.4,0.9745,Critical,10413.0,2024-05-24,CSM intervention call within 48 hours
140,ACC-0518,"Hernandez, Cole and Watson",professional,Carlos Vega,EMEA,1197.14,14365.68,0.7093,High,10190.0,2024-11-30,Automated re-engagement sequence + CSM follow-up
141,ACC-1077,"Matthews, Harrington and Rodriguez",professional,Sarah Chen,EMEA,1338.28,16059.36,0.5946,High,9549.0,2024-09-03,Automated re-engagement sequence + CSM follow-up
142,ACC-1778,Rodriguez-Mendoza,starter,James Okonkwo,EMEA,793.59,9523.08,0.9947,Critical,9473.0,2024-12-25,CSM intervention call within 48 hours
143,ACC-1235,Holt and Sons,starter,Marco Ricci,APAC,787.55,9450.6,0.9894,Critical,9350.0,2025-11-09,CSM intervention call within 48 hours
144,ACC-1477,Nelson-Wallace,starter,Carlos Vega,EMEA,776.95,9323.4,0.991,Critical,9239.0,2025-12-19,CSM intervention call within 48 hours
145,ACC-0012,Dudley Group,starter,James Okonkwo,,765.71,9188.52,0.9987,Critical,9177.0,2024-05-28,CSM intervention call within 48 hours
146,ACC-1101,"Sanders, Leblanc and Maldonado",starter,Lena Müller,APAC,773.06,9276.72,0.9757,Critical,9051.0,2024-11-10,CSM intervention call within 48 hours
147,ACC-0744,"Alvarez, Williams and Jones",starter,Carlos Vega,,766.13,9193.56,0.9837,Critical,9044.0,2025-06-20,CSM intervention call within 48 hours
148,ACC-0446,"Osborn, Gaines and Davis",starter,Lena Müller,EMEA,761.23,9134.76,0.9862,Critical,9009.0,2024-06-08,CSM intervention call within 48 hours
149,ACC-0954,Barnes Inc,starter,Lena Müller,,793.71,9524.52,0.9424,Critical,8976.0,2025-12-12,CSM intervention call within 48 hours
150,ACC-1793,"Wise, Gray and Snyder",starter,Lena Müller,,751.94,9023.28,0.9935,Critical,8965.0,2025-07-20,CSM intervention call within 48 hours
151,ACC-0217,Perez-White,starter,Anna Kowalski,EMEA,790.11,9481.32,0.9396,Critical,8909.0,2025-07-20,CSM intervention call within 48 hours
152,ACC-0981,Orr Group,starter,Priya Sharma,,760.05,9120.6,0.9755,Critical,8897.0,2024-05-19,CSM intervention call within 48 hours
153,ACC-0572,"Smith, Rodriguez and Anderson",starter,James Okonkwo,,739.65,8875.8,0.9957,Critical,8838.0,2025-06-05,CSM intervention call within 48 hours
154,ACC-1906,"Barker, Tucker and Mcclure",starter,Anna Kowalski,APAC,741.47,8897.64,0.991,Critical,8818.0,2025-08-07,CSM intervention call within 48 hours
155,ACC-0881,Watson Ltd,starter,Lena Müller,,748.75,8985.0,0.9812,Critical,8816.0,2025-03-31,CSM intervention call within 48 hours
156,ACC-0825,"Price, Long and Wilson",starter,Anna Kowalski,,753.54,9042.48,0.9663,Critical,8738.0,2025-03-26,CSM intervention call within 48 hours
157,ACC-0417,"Mullen, Brewer and Hernandez",starter,Marco Ricci,,733.95,8807.4,0.9856,Critical,8681.0,2024-12-06,CSM intervention call within 48 hours
158,ACC-1506,Garrett-Black,starter,Lena Müller,APAC,738.93,8867.16,0.9785,Critical,8677.0,2024-11-05,CSM intervention call within 48 hours
159,ACC-1659,Miller-Chan,starter,Priya Sharma,,727.82,8733.84,0.9928,Critical,8671.0,2025-08-05,CSM intervention call within 48 hours
160,ACC-1279,"Moreno, Barajas and Colon",starter,Marco Ricci,,772.93,9275.16,0.9315,Critical,8640.0,2025-10-22,CSM intervention call within 48 hours
161,ACC-1646,"Anderson, Delgado and Carpenter",starter,Lena Müller,,760.17,9122.04,0.9232,Critical,8421.0,2025-02-02,CSM intervention call within 48 hours
162,ACC-1585,"Short, Ellison and Dixon",starter,Priya Sharma,APAC,733.33,8799.96,0.9478,Critical,8341.0,2025-12-08,CSM intervention call within 48 hours
163,ACC-1470,"Griffin, Miller and Austin",starter,Anna Kowalski,EMEA,696.99,8363.88,0.9961,Critical,8331.0,2025-09-03,CSM intervention call within 48 hours
164,ACC-0966,Owens-Russell,starter,Priya Sharma,,725.79,8709.48,0.9563,Critical,8329.0,2025-08-06,CSM intervention call within 48 hours
165,ACC-0268,Jimenez Ltd,starter,Anna Kowalski,,703.6,8443.2,0.9832,Critical,8301.0,2026-07-18,CSM intervention call within 48 hours
166,ACC-1991,Fitzgerald-Brown,starter,James Okonkwo,,692.95,8315.4,0.998,Critical,8299.0,2025-03-09,CSM intervention call within 48 hours
167,ACC-0055,Jones Inc,starter,Sarah Chen,APAC,697.5,8370.0,0.9906,Critical,8291.0,2025-09-19,CSM intervention call within 48 hours
168,ACC-0431,"Huang, Cole and Pacheco",starter,Priya Sharma,,778.09,9337.08,0.8797,Critical,8214.0,2025-10-11,CSM intervention call within 48 hours
169,ACC-0483,"Andrews, Higgins and Carter",starter,Anna Kowalski,APAC,690.57,8286.84,0.9876,Critical,8184.0,2024-04-11,CSM intervention call within 48 hours
170,ACC-0952,Blake Group,starter,James Okonkwo,,678.51,8142.12,0.9983,Critical,8128.0,2026-12-09,CSM intervention call within 48 hours
171,ACC-0875,Smith-Noble,starter,James Okonkwo,EMEA,679.54,8154.48,0.9968,Critical,8128.0,2025-10-20,CSM intervention call within 48 hours
172,ACC-0900,Wright Ltd,starter,Sarah Chen,EMEA,683.84,8206.08,0.9871,Critical,8100.0,2025-10-17,CSM intervention call within 48 hours
173,ACC-1615,Hanson-Alexander,starter,Priya Sharma,,691.61,8299.32,0.9718,Critical,8065.0,2025-07-27,CSM intervention call within 48 hours
